Name,Age,Salary,Gender,Department,Position,Year,Month,Day,Performance Score,Email,Phone Number
grace,25,50000,M,HR,Manager,2018,4,5,Bad,email@example.com,0000000000
david,35,65000,F,Finance,Director,2020,2,20,Worst,user@domain.com,1234567890
hannah,35,60000,F,Sales,Director,2020,1,15,Medium,email@example.com,0987654321
eve,35,50000,F,IT,Manager,2018,4,5,Excellent,name@company.org,0000000000
grace,35,57500,F,Finance,Manager,2020,1,15,Worst,name@company.org,0987654321
jack,35,65000,O,Marketing,Director,2019,3,25,Worst,user@domain.com,0000000000
charlie,35,50000,M,Marketing,Clerk,2019,12,1,Good,Unknown,1234567890
grace,40,50000,O,HR,Director,2019,3,25,Medium,Unknown,0000000000
hannah,40,60000,F,Marketing,Manager,2020,1,15,Medium,user@domain.com,1234567890
eve,35,57500,O,Finance,Assistant,2020,2,20,Excellent,Unknown,0000000000
david,25,70000,M,Marketing,Analyst,2019,12,1,Good,Unknown,1234567890
hannah,35,70000,O,Finance,Assistant,2019,3,25,Excellent,Unknown,0000000000
hannah,35,50000,M,IT,Assistant,2018,4,5,Bad,Unknown,0000000000
charlie,25,55000,O,HR,Manager,2020,2,20,Worst,Unknown,5555555555
frank,50,57500,M,Marketing,Director,2019,3,25,Excellent,Unknown,1234567890
eve,35,65000,M,Finance,Clerk,2018,4,5,Worst,Unknown,1234567890
bob,40,55000,F,Sales,Assistant,2020,1,15,Good,Unknown,0987654321
hannah,50,55000,M,HR,Director,2018,4,5,Bad,user@domain.com,0000000000
frank,25,57500,F,IT,Clerk,2019,3,25,Good,email@example.com,5555555555
bob,50,50000,F,Finance,Assistant,2019,3,25,Bad,user@domain.com,0000000000
eve,35,50000,F,IT,Clerk,2020,1,15,Bad,email@example.com,0987654321
alice,25,50000,O,IT,Director,2018,4,5,Worst,user@domain.com,5555555555
jack,50,50000,O,Marketing,Analyst,2018,4,5,Good,email@example.com,0000000000
frank,40,70000,O,Marketing,Director,2020,1,15,Good,email@example.com,5555555555
ivy,40,50000,O,Finance,Manager,2018,4,5,Excellent,name@company.org,1234567890
alice,35,70000,M,Sales,Clerk,2020,1,15,Good,email@example.com,1234567890
jack,50,70000,M,Finance,Analyst,2020,2,20,Excellent,email@example.com,0987654321
charlie,35,50000,O,Sales,Clerk,2019,3,25,Medium,name@company.org,0000000000
grace,50,60000,M,IT,Clerk,2020,2,20,Medium,Unknown,0000000000
david,25,65000,M,HR,Assistant,2019,12,1,Medium,Unknown,5555555555
ivy,25,55000,F,Finance,Manager,2019,12,1,Good,name@company.org,0987654321
charlie,50,70000,F,Finance,Clerk,2019,12,1,Good,Unknown,0000000000
eve,35,57500,F,Sales,Director,2020,1,15,Excellent,email@example.com,1234567890
charlie,40,57500,F,IT,Director,2018,4,5,Bad,email@example.com,5555555555
